0      // serial data out 0 , pattern 1
1      // serial data out 1 
0      // serial data out 2 
0      // serial data out 3 
0      // serial data out 4 
1      // serial data out 5 
0      // serial data out 6 
0      // serial data out 7 
1      // serial data out 8 
0      // serial data out 9 
0      // serial data out 10 
0      // serial data out 11 
1      // serial data out 12 
0      // serial data out 13 
0      // serial data out 14 
0      // serial data out 15 
0      // serial data out 16 , pattern 2
0      // serial data out 17 
1      // serial data out 18 
0      // serial data out 19 
0      // serial data out 20 
0      // serial data out 21 
1      // serial data out 22 
0      // serial data out 23 
0      // serial data out 24 ,pattern 3
1      // serial data out 25 
1      // serial data out 26 
0      // serial data out 27 
0      // serial data out 28 
1      // serial data out 29 
1      // serial data out 30 
0      // serial data out 31 
1      // serial data out 32 , pattern 4
0      // serial data out 33 
0      // serial data out 34 
0      // serial data out 35 
1      // serial data out 36 
0      // serial data out 37 
0      // serial data out 38 
0      // serial data out 39 
0      // serial data out 40 
1      // serial data out 41 
0      // serial data out 42 
1      // serial data out 43 
0      // serial data out 44 
1      // serial data out 45 
0      // serial data out 46 
1      // serial data out 47 
0      // serial data out 48 
0      // serial data out 49 
1      // serial data out 50 
1      // serial data out 51 
0      // serial data out 52 
0      // serial data out 53 
1      // serial data out 54 
1      // serial data out 55 
1      // serial data out 56 
1      // serial data out 57 
1      // serial data out 58 
0      // serial data out 59 
1      // serial data out 60 
1      // serial data out 61 
1      // serial data out 62 
0      // serial data out 63 
0      // serial data out 64 
0      // serial data out 65 
0      // serial data out 66 
0      // serial data out 67 
0      // serial data out 68 
1      // serial data out 69 
0      // serial data out 70 
0      // serial data out 71 
1      // serial data out 72 
1      // serial data out 73 
1      // serial data out 74 
1      // serial data out 75 
1      // serial data out 76 
1      // serial data out 77 
1      // serial data out 78 
1      // serial data out 79 
0      // serial data out 80 
0      // serial data out 81 
0      // serial data out 82 
0      // serial data out 83 
0      // serial data out 84 
0      // serial data out 85 
1      // serial data out 86 
0      // serial data out 87 
0      // serial data out 88 
0      // serial data out 89 
1      // serial data out 90 
0      // serial data out 91 
0      // serial data out 92 
1      // serial data out 93 
0      // serial data out 94 
1      // serial data out 95 
1      // serial data out 96 
0      // serial data out 97 
1      // serial data out 98 
0      // serial data out 99 
1      // serial data out 100 
1      // serial data out 101 
1      // serial data out 102 
1      // serial data out 103 
